problem	classification	n	m
3PK	SBR2-MN-30-0	30	0
ACOPP14	QOR2-AY-38-68	38	68
ACOPR14	QOR2-AN-38-82	38	82
AIRCRFTB	SXR2-RN-8-0	8	0
AIRPORT	SQR2-MN-84-42	84	42
AKIVA	OUR2-AN-2-0	2	0
ALLINIT	OBR2-AY-4-0	4	0
ALLINITA	OOR2-AY-4-4	4	4
ALLINITC	OOR2-AY-4-1	4	1
ALLINITU	OUR2-AY-4-0	4	0
ALSOTAME	OOR2-AN-2-1	2	1
ANTWERP	SLR2-RN-27-8	27	8
AVGASA	QLR2-AN-8-10	8	10
AVGASB	QLR2-AN-8-10	8	10
AVION2	OLR2-RN-49-15	49	15
BA-L1LS	SUR2-MN-57-0	57	0
BA-L1SPLS	SUR2-MN-57-0	57	0
BARD	SUR2-AN-3-0	3	0
BATCH	OOR2-AN-46-73	46	73
BEALE	SUR2-AN-2-0	2	0
BENNETT5LS	SUR2-MN-3-0	3	0
BIGGS3	SXR2-AN-6-0	6	0
BIGGS5	SXR2-AN-6-0	6	0
BIGGS6	SUR2-AN-6-0	6	0
BIGGSC4	QLR2-AN-4-7	4	7
BOX2	SXR2-AN-3-0	3	0
BOX3	SUR2-AN-3-0	3	0
BOXBODLS	SUR2-MN-2-0	2	0
BQP1VAR	QBR2-AN-1-0	1	0
BQPGABIM	QBR2-AN-50-0	50	0
BQPGASIM	QBR2-AN-50-0	50	0
BRANIN	OBR2-AN-2-0	2	0
BRKMCC	OUR2-AN-2-0	2	0
BROWNBS	SUR2-AN-2-0	2	0
BROWNDEN	SUR2-AN-4-0	4	0
BT1	QQR2-AN-2-1	2	1
BT10	LOR2-AN-2-2	2	2
BT11	OOR2-AY-5-3	5	3
BT12	QQR2-AN-5-3	5	3
BT13	LQR2-AY-5-1	5	1
BT2	QQR2-AY-3-1	3	1
BT3	SLR2-AY-5-3	5	3
BT4	QQR2-AN-3-2	3	2
BT5	QQR2-AN-3-2	3	2
BT6	OOR2-AY-5-2	5	2
BT7	OQR2-AN-5-3	5	3
BT8	QQR2-AN-5-2	5	2
BT9	LOR2-AN-4-2	4	2
BURKEHAN	QOR2-AN-1-1	1	1
BYRDSPHR	LQR2-AN-3-2	3	2
CAMEL6	OBR2-AN-2-0	2	0
CANTILVR	LOR2-MN-5-1	5	1
CB2	LOR2-AN-3-3	3	3
CB3	LOR2-AN-3-3	3	3
CERI651ALS	SUR2-MN-7-0	7	0
CERI651BLS	SUR2-MN-7-0	7	0
CERI651CLS	SUR2-MN-7-0	7	0
CERI651DLS	SUR2-MN-7-0	7	0
CERI651ELS	SUR2-MN-7-0	7	0
CHACONN1	LOR2-AY-3-3	3	3
CHACONN2	LOR2-AY-3-3	3	3
CONGIGMZ	LQR2-AN-3-5	3	5
CRESC4	OOR2-MY-6-8	6	8
CRESC50	OOR2-MY-6-100	6	100
DALLASS	ONR2-MN-46-31	46	31
DECONVB	SBR2-MN-61-0	61	0
DECONVC	SQR2-MN-61-1	61	1
DECONVU	SXR2-MN-61-0	61	0
DEGENLPA	LLR2-AN-20-15	20	15
DEGENLPB	LLR2-AN-20-15	20	15
DEMYMALO	LQR2-AN-3-3	3	3
DEVGLA1B	SBR2-MN-4-0	4	0
DEVGLA2B	SBR2-MN-5-0	5	0
DGOSPEC	OBR2-AN-3-0	3	0
DISC2	LQR2-MY-29-23	29	23
DUAL1	QLR2-MN-85-1	85	1
DUAL2	QLR2-MN-96-1	96	1
DUAL4	QLR2-MN-75-1	75	1
EG1	OBR2-AY-3-0	3	0
EGGCRATEB	SBR2-MN-4-0	4	0
ELATVIDUB	SBR2-MN-2-0	2	0
EQC	OLR2-MY-9-3	9	3
EXPFITA	OLR2-AN-5-22	5	22
EXTRASIM	LLR2-AN-2-1	2	1
LINSPANH	LNR2-MN-97-33	97	33
LSNNODOC	ONR2-AY-5-4	5	4
MINSURF	OXR2-MY-64-0	64	0
SPANHYD	ONR2-RN-97-33	97	33
WATER	ONR2-MN-31-10	31	10
ACOPP30	QOR2-AY-72-142	72	142
ACOPP57	QOR2-AY-128-274	128	274
ACOPR30	QOR2-AN-72-172	72	172
CHWIRUT1LS	SUR2-MN-3-0	3	0
CHWIRUT2LS	SUR2-MN-3-0	3	0
CLIFF	OUR2-AN-2-0	2	0
CLUSTERLS	SUR2-AN-2-0	2	0
COATING	SUR2-MN-134-0	134	0
COOLHANSLS	SUR2-RN-9-0	9	0
CRESC100	OOR2-MY-6-200	6	200
CSFI1	LOR2-RN-5-4	5	4
CSFI2	LOR2-RN-5-4	5	4
CUBE	SUR2-AN-2-0	2	0
DALLASM	ONR2-MN-196-151	196	151
DANIWOODLS	SUR2-MN-2-0	2	0
DANWOODLS	SUR2-MN-2-0	2	0
DEMBO7	QOR2-MN-16-20	16	20
DENSCHNA	OUR2-AN-2-0	2	0
DENSCHNB	SUR2-AN-2-0	2	0
DENSCHNC	SUR2-AN-2-0	2	0
DENSCHND	SUR2-AN-3-0	3	0
DENSCHNE	SUR2-AN-3-0	3	0
DENSCHNF	SUR2-AY-2-0	2	0
DEVGLA1	SUR2-MN-4-0	4	0
DEVGLA2	SUR2-MN-5-0	5	0
DIAMON2DLS	SUR2-MN-66-0	66	0
DIAMON3DLS	SUR2-MN-99-0	99	0
DIPIGRI	OOR2-AN-7-4	7	4
DISCS	LQR2-MY-36-66	36	66
DIXCHLNG	SOR2-AN-10-5	10	5
DJTL	OUR2-AN-2-0	2	0
DMN15102LS	SUR2-MN-66-0	66	0
DMN15103LS	SUR2-MN-99-0	99	0
DMN15332LS	SUR2-MN-66-0	66	0
DMN15333LS	SUR2-MN-99-0	99	0
DMN37142LS	SUR2-MN-66-0	66	0
DMN37143LS	SUR2-MN-99-0	99	0
DNIEPER	QOR2-MN-61-24	61	24
DUAL3	QLR2-MN-111-1	111	1
DUALC1	QLR2-MN-9-215	9	215
DUALC2	QLR2-MN-7-229	7	229
DUALC5	QLR2-MN-8-278	8	278
ECKERLE4LS	SUR2-MN-3-0	3	0
EGGCRATE	SUR2-MN-4-0	4	0
ELATTAR	LOR2-AN-7-102	7	102
ELATVIDU	SUR2-MN-2-0	2	0
ENGVAL2	SUR2-AN-3-0	3	0
ENSOLS	SUR2-MN-9-0	9	0
ERRINBAR	LOR2-MY-18-9	18	9
EXP2	SUR2-MN-2-0	2	0
EXP2B	SBR2-MN-2-0	2	0
EXPFIT	SUR2-AN-2-0	2	0
EXPFITB	OLR2-AN-5-102	5	102
FBRAIN2LS	SBR2-AN-4-0	4	0
FBRAIN3LS	SUR2-AN-6-0	6	0
FBRAINLS	SBR2-AN-2-0	2	0
FCCU	SLR2-MN-19-8	19	8
FEEDLOC	LOR2-AN-90-259	90	259
FLETCHER	QOR2-AN-4-4	4	4
FLT	QOR2-AN-2-2	2	2
GAUSS1LS	SUR2-MN-8-0	8	0
GAUSS2LS	SUR2-MN-8-0	8	0
GAUSS3LS	SUR2-MN-8-0	8	0
GAUSSIAN	SUR2-AN-3-0	3	0
GBRAINLS	SUR2-MN-2-0	2	0
GENHS28	QLR2-AY-10-8	10	8
GIGOMEZ1	LQR2-AN-3-3	3	3
GIGOMEZ2	LOR2-AY-3-3	3	3
GIGOMEZ3	LOR2-AY-3-3	3	3
GMNCASE1	QLR2-AN-175-300	175	300
GOFFIN	LLR2-AN-51-50	51	50
